,0.995,0.99,0.975,0.95,0.5,0.25,0.1,0.05,0.025,0.01,0.005
1,0,0,0,0,0.45,1.32,2.71,3.84,5.02,6.63,7.88
2,0.01,0.02,0.05,0.1,1.39,2.77,4.61,5.99,7.38,9.21,10.6
3,0.07,0.11,0.22,0.35,2.37,4.11,6.25,7.81,9.35,11.34,12.84
4,0.21,0.3,0.48,0.71,3.36,5.39,7.78,9.49,11.14,13.28,14.86
5,0.41,0.55,0.83,1.15,4.35,6.63,9.49,11.07,12.83,15.09,16.75
6,0.68,0.87,1.24,1.64,5.35,7.84,10.64,12.59,14.45,16.81,18.55
7,0.99,1.24,1.69,2.17,6.35,9.04,12.02,14.07,16.01,18.48,20.28
8,1.34,1.65,2.18,2.73,7.34,10.22,13.36,15.51,17.53,20.09,21.96
9,1.73,2.09,2.7,3.33,8.34,11.39,14.68,16.92,19.02,21.67,23.59
10,2.16,2.56,3.25,3.94,9.34,12.55,15.99,18.31,20.48,23.21,25.19
11,2.6,3.05,3.82,4.57,10.34,13.7,17.28,19.68,21.92,24.72,26.76
12,3.07,3.57,4.4,5.23,11.34,14.85,18.55,21.03,23.34,26.22,28.3
13,3.57,4.11,5.01,5.89,12.34,15.98,19.81,22.36,24.74,27.69,29.82
14,4.08,4.66,5.63,6.57,13.34,17.12,21.06,23.68,26.12,29.14,31.32
15,4.6,5.23,6.27,7.26,14.34,18.25,22.31,25,27.49,30.58,32.8
16,5.14,5.81,6.91,7.96,15.34,19.37,23.54,26.3,28.85,32,34.27
17,5.7,6.41,7.56,8.67,16.34,20.49,24.77,27.59,30.19,33.41,35.72
18,6.26,7.01,8.23,9.39,17.34,21.6,25.9,28.87,31.53,34.81,37.16
19,6.84,7.63,8.91,10.12,18.34,22.72,27.2,30.14,32.85,36.19,38.58
20,7.43,8.26,9.59,10.85,19.34,23.83,28.41,31.41,34.17,37.57,40
25,10.52,11.52,13.12,14.61,24.34,29.34,34.38,37.65,40.65,44.31,46.93
30,13.79,14.95,16.79,18.49,29.34,34.8,40.26,43.77,46.98,50.89,53.67
40,20.71,22.16,24.43,26.51,39.34,45.62,51.81,55.76,59.34,63.69,66.77
50,27.99,29.71,32.36,34.76,49.34,56.33,63.17,67.5,71.42,76.15,79.49
60,35.53,37.48,40.48,43.19,59.33,66.98,74.4,79.08,83.3,88.38,91.95
70,43.28,45.44,48.76,51.74,69.33,77.58,85.53,90.53,95.02,100.42,104.22
80,51.17,53.54,57.15,60.39,79.33,88.13,96.58,101.88,106.63,112.33,116.32
90,59.2,61.75,65.65,69.13,89.33,98.65,107.57,113.14,118.14,124.12,128.3
100,67.33,70.06,74.22,77.93,99.33,109.14,118.5,124.34,129.56,135.81,140.17
