,10,5,1
1,0.95,0.975,0.995
2,0.776,0.842,0.929
3,0.642,0.0708,0.829
4,0.564,0.624,0.734
5,0.51,0.563,0.669
6,0.47,0.521,0.618
7,0.438,0.486,0.577
8,0.411,0.457,0.543
9,0.388,0.432,0.514
10,0.368,0.409,0.486
11,0.352,0.391,0.468
12,0.338,0.375,0.45
13,0.352,0.361,0.433
14,0.14,0.349,0.418
15,0.304,0.338,0.404
16,0.295,0.328,0.392
17,0.286,0.318,0.381
18,0.278,0.309,0.371
19,0.272,0.301,0.363
20,0.264,0.294,0.352
25,0.24,0.264,0.317
30,0.22,0.242,0.29
35,0.21,0.23,0.27
40,,0.21,0.252
50,,0.188,0.226
60,,0.172,0.207
70,,0.16,0.192
80,,0.15,0.18
90,,0.141,
100,,0.134,
